tool_id,cut_no,vb_mm,wear_stage,fx_mean,fx_std,fx_peak2peak,fx_rms,fx_skewness,fx_kurtosis,fy_mean,fy_std,fy_peak2peak,fy_rms,fy_skewness,fy_kurtosis,fz_mean,fz_std,fz_peak2peak,fz_rms,fz_skewness,fz_kurtosis,vx_mean,vx_std,vx_peak2peak,vx_rms,vx_skewness,vx_kurtosis,vy_mean,vy_std,vy_peak2peak,vy_rms,vy_skewness,vy_kurtosis,vz_mean,vz_std,vz_peak2peak,vz_rms,vz_skewness,vz_kurtosis,ae_rms_mean,ae_rms_std,ae_rms_peak2peak,ae_rms_rms,ae_rms_skewness,ae_rms_kurtosis
c1,1,0.0396,0,-1.0826059894939908,-1.1182152365553382,-1.2137739274161046,-1.2316567877913946,-0.025358022871779184,2.100041961314077,-1.8254607502922207,-2.060597669650609,-2.2480627182453454,-2.2425426825226884,-5.420021012417761,5.625618835257722,-1.5445355597622061,-1.6776397979803879,-1.82830316642346,-1.720737281593867,-3.719976906245074,3.9802955802401905,2.573074465580041,-0.9992201390992141,-1.0626476565788674,-0.9924496111217592,-0.5400048481932914,-1.1813024213594734,3.162517330698851,-0.9028201978358026,-0.8568019484773497,-0.893076040735929,1.629005778090156,-0.1524498172506864,3.2083124227041546,-0.9521697900073328,-0.985397713972737,-0.9347492483337875,0.17029929775024072,-0.9102899070728595,-3.44792883228276,-4.093060938170593,-4.127305686475304,-3.464244323663442,-0.6072324299279045,-3.4721410139714255
c1,2,0.0417,0,-1.030285641361445,-1.0552049722433965,-1.1131453344185058,-1.1684556982468581,3.2167964987283644,3.062229153960968,-1.656787251685122,-1.688224424664889,-2.1888656800832043,-1.888954423155307,-0.6642360740107539,-0.37898607435144177,-1.4696823985841336,-1.6184618840667602,-1.704813235259262,-1.6567582292848324,-1.898706782507951,3.5649255475468133,-1.092025815269715,-0.8677843035733734,-0.896780119845156,-0.868299272522119,-0.3285892217423774,-0.8123733753667535,-1.5506985222117926,-0.8161398691528216,-0.7974247762543534,-0.8113605406396498,1.591179912643818,0.26546190534748454,-1.429268912594179,-0.8512696484390598,-0.8569649750436147,-0.8452880623265595,0.14109365183599343,-0.6060171077687668,-2.4035545281180615,-2.762041088426492,-2.5447829626451357,-2.440279058149741,0.1038743595100865,0.33108059290972586
c1,3,0.0437,0,-0.9679024745306988,-1.0054682125763885,-1.0363965778157445,-1.1114726423117742,3.2083543475211695,3.2442939124135113,-1.2328577089899468,-1.2784460898282477,-1.7742676507968407,-1.4407501229460287,-0.11296074149244704,-0.060186006703284375,-1.279619452012939,-1.511386341090474,-1.551879903433677,-1.5284596250419942,-0.6596454406946174,2.8441417213953737,-1.582169596466184,-0.7175050739956794,-0.8548136346474701,-0.7169847212169624,-0.4803869434488812,-0.8445236619708777,-1.3592872666475333,-0.7286833218687487,-0.7050602861296924,-0.7255605986391661,0.8830348332697184,0.10876949467882242,-1.267546096207584,-0.7435579044587737,-0.817334301316914,-0.7397948397739168,-0.643877258612433,-0.677966522258413,-1.64589818933233,-1.9900828044901793,-1.7252622663759416,-1.6783899457090397,0.6065016209721358,0.6880120465767869
c1,4,0.0456,0,-0.9404760895366818,-0.9857200714905573,-1.0298410203590973,-1.0876958625499096,3.0879305876897862,3.349306108531631,-1.10403442618616,-1.102233555523586,-1.5791755642003973,-1.2611013689266166,-0.08341936545484449,-0.20862593124376896,-1.2349074340737423,-1.4654490579328943,-1.4394204755416475,-1.4820325642769248,-0.7029045978506057,2.6778531463566213,-0.5228648809701372,-0.6679948294777772,-0.8358287961056597,-0.6691612293603174,-0.47829328731487525,-1.0271821303770035,-0.38820198587445043,-0.6957639426469076,-0.673722334123111,-0.6965653855775834,1.3500140375041776,-0.08596004081021381,-0.3915785286827264,-0.7042165435137383,-0.8569649750436147,-0.7055972673673878,-0.18474854137941896,-0.9136293866082078,-1.2826181635236236,-1.5295406926900044,-0.9622602388149674,-1.3072226307132453,0.9706030873229811,1.7402901150911376
c1,5,0.0474,0,-0.8798843035337642,-0.9865087004913948,-1.047165299297287,-1.0638370199389109,3.2589737737251903,3.0417403932313216,-1.2317258172828986,-1.0493737787165953,-1.1960355322817937,-1.2512894127430172,-0.6049461051920568,-0.41632839498152874,-1.4400756948483333,-1.447004212741046,-1.492045168235951,-1.5050714140696237,-0.4527305601152052,2.583691142557683,4.37640591304753,-0.8922871443992421,-0.878794483331862,-0.8729757664766201,-0.3019795740314174,-0.7404126916380028,4.661478090910672,-0.8527244961578818,-0.7998988250969781,-0.8274884466537584,1.3694995303095898,0.33019036774682364,4.754319166154674,-0.8457712784069907,-0.8554971723129959,-0.8048234106189036,-0.50504064716248,-0.8334147035256124,-1.0339759625233087,-1.3023454968053234,-0.8633525685755822,-1.058279019464292,0.6186638389295618,0.6942164513187201
c1,6,0.0492,0,-0.8716033967687821,-0.9860582793478055,-1.0217762698189052,-1.0599168574657114,3.114432130921339,2.798943425203682,-1.2380920113875464,-1.012577550500207,-1.3993093233396712,-1.2219517980068222,-0.3675072188368294,-0.3510919110275052,-1.430234309960902,-1.4270892784148357,-1.4772803800018508,-1.4860433663030674,-0.17855731878053613,2.6054471801421,-1.5212432068453858,-0.8991926647669697,-0.8937825137596072,-0.8986824402062612,0.24639450490992096,-0.42269746906553823,-2.41285204176593,-0.8560531341037535,-0.8031975568871447,-0.8438826086743082,2.1297804173925123,0.34121459712133917,-2.239122222766122,-0.8508060921607568,-0.8892566351172225,-0.8355432202562835,0.41665385611011363,-0.5912953799914191,-0.8693570846672162,-0.8892355897062669,-0.679666895273866,-0.8780532408280162,1.170046538471187,1.1686245829120125
c1,7,0.0509,1,-0.8644102412335332,-0.9842876889955887,-1.0301711563461224,-1.0556330106380842,3.006313447082129,3.004995727994915,-1.2000069069802612,-0.9840808812126836,-1.356213179518748,-1.1888923365654172,-0.3778596407017877,-0.40523853574905294,-1.4109353181648308,-1.4086596189660765,-1.431319949701149,-1.4670178091426465,-0.06381710131376402,2.683565566380506,-2.6478946255231754,-0.8962425688063158,-0.9007769279592214,-0.8912772330503435,-0.5373063010965122,-0.3809431384555664,-2.2288101701297283,-0.8486187819120553,-0.7941260444641869,-0.8382654110874207,0.6829789874371712,0.6004371909775896,-2.2634893713726343,-0.844665411980323,-0.8151325972209861,-0.8292004650150723,-0.8295434231250987,-0.4958040547024133,-0.6620230284875352,-0.9704138720406527,-0.8209635670444169,-0.686065301417258,0.3381314347209661,-0.22151198407737352
c1,8,0.0526,1,-0.8579313187896684,-0.9867290589015913,-1.0373241027316729,-1.0541684497673434,2.8994538638963,2.789666039149929,-1.1695108827208718,-0.9663479258722504,-1.3558631600765474,-1.1665817625019674,-0.38471748140313217,-0.407597324921143,-1.3905873136751934,-1.3991217143057948,-1.415434875978469,-1.4556828020732082,0.05249274368301606,2.732689453971986,-1.3255804494359458,-0.8602197014607768,-0.8857888975314765,-0.8602425281683553,-0.7212716088067419,-0.3221903572518372,-1.1123444364405686,-0.8236166168440203,-0.7735089707756465,-0.8213702060605091,0.6635239975236299,0.6697461503670163,-1.0552046273237894,-0.8255317231482521,-0.844488651833357,-0.8229177959715157,-0.6757324034526785,-0.47796246924086494,-0.4295342493675326,-0.558858152502428,-0.3688142173786542,-0.44198204036545774,0.44303672995997245,0.06265994042116538
c1,9,0.0542,1,-0.8899314724887706,-0.9930572935008778,-1.0567864052048845,-1.0722868750087535,0.3020171586337269,0.9241962926663543,-1.1643839023803726,-1.0213938186532237,-1.23318134558531,-1.2110968947244947,-0.5375140917251793,-0.5141051253499899,-1.2402463540074942,-1.4051600772733188,-1.4243397093492298,-1.4345333583482558,-0.1195271883863234,2.832250721181799,2.269704029987539,-0.9383666956827272,-0.9237585746150972,-0.933629159072346,-0.450068005536412,-0.9681548301856313,2.6046024896660596,-0.8942894310567483,-0.808970337519936,-0.8891281351247955,1.4671843967648865,-0.0962671062575266,2.6339282567950844,-0.882380080657149,-0.9626467716481496,-0.8737512779186158,-0.0698589472744602,-1.1337621521860646,-0.3347181305030459,-0.34805000780495104,-0.22751754560810414,-0.3398972693002198,0.796748896338834,0.9782460712930015
c1,10,0.0557,1,-0.8917346558870158,-0.9937777881621125,-1.043659569530303,-1.0735192100558202,0.21539751539795673,1.1306387794932906,-1.1716831291950507,-1.0123639314719983,-1.4063534646139542,-1.205463425466524,-0.4168630704173866,-0.43496432052665746,-1.241800343554114,-1.4005448019520876,-1.4020489006533896,-1.4310346761136377,0.044191953632920944,3.178308566048286,-1.1196010303397865,-0.964452302000034,-0.9467402212709728,-0.9648929584799102,-0.3694836795358068,-0.967068934171732,-1.576987709463199,-0.9098367164615841,-0.8617500461625992,-0.9040862268892298,1.5029970582027607,-0.2764395990291024,-1.4842877390964324,-0.8991080663136104,-0.9575094620909849,-0.8920737363656743,0.13313808311971187,-1.0976104676986036,-0.27492754173027834,-0.2605137629731094,-0.0014428707752227883,-0.2781241423778492,0.6488427485344773,0.34750708723413815
